60 €/dienā (0.81 €/m²),74 m²,2,3/4,Alunāna 6,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/ghgjp.html,"[""ghgjp-flats-riga-centre-64219138.800.jpg"", ""ghgjp-flats-riga-centre-64178523.800.jpg"", ""ghgjp-flats-riga-centre-65407680.800.jpg"", ""ghgjp-flats-riga-centre-64219140.800.jpg"", ""ghgjp-flats-riga-centre-64219141.800.jpg"", ""ghgjp-flats-riga-centre-61908632.800.jpg"", ""ghgjp-flats-riga-centre-64219137.800.jpg"", ""ghgjp-flats-riga-centre-63550431.800.jpg"", ""ghgjp-flats-riga-centre-65407681.800.jpg"", ""ghgjp-flats-riga-centre-65407682.800.jpg"", ""ghgjp-flats-riga-centre-63757583.800.jpg"", ""ghgjp-flats-riga-centre-64219142.800.jpg"", ""ghgjp-flats-riga-centre-64178522.800.jpg"", ""ghgjp-flats-riga-centre-63757585.800.jpg"", ""ghgjp-flats-riga-centre-65407683.800.jpg"", ""ghgjp-flats-riga-centre-65407684.800.jpg"", ""ghgjp-flats-riga-centre-63551104.800.jpg"", ""ghgjp-flats-riga-centre-63757603.800.jpg"", ""ghgjp-flats-riga-centre-63757605.800.jpg"", ""ghgjp-flats-riga-centre-61948790.800.jpg""]"
370 €/mēn. (11.94 €/m²),31 m²,1,2/5,Zirņu 4,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/bkfedg.html,"[""bkfedg-flats-riga-centre-65404077.800.jpg"", ""bkfedg-flats-riga-centre-65404118.800.jpg"", ""bkfedg-flats-riga-centre-65404119.800.jpg"", ""bkfedg-flats-riga-centre-65404120.800.jpg"", ""bkfedg-flats-riga-centre-65404855.800.jpg"", ""bkfedg-flats-riga-centre-65404856.800.jpg"", ""bkfedg-flats-riga-centre-65404857.800.jpg"", ""bkfedg-flats-riga-centre-65405795.800.jpg"", ""bkfedg-flats-riga-centre-65393522.800.jpg"", ""bkfedg-flats-riga-centre-65405796.800.jpg"", ""bkfedg-flats-riga-centre-65393523.800.jpg"", ""bkfedg-flats-riga-centre-65405797.800.jpg"", ""bkfedg-flats-riga-centre-65393526.800.jpg"", ""bkfedg-flats-riga-centre-65393527.800.jpg"", ""bkfedg-flats-riga-centre-65393528.800.jpg"", ""bkfedg-flats-riga-centre-65393529.800.jpg"", ""bkfedg-flats-riga-centre-65393525.800.jpg""]"
35 €/dienā (1.17 €/m²),30 m²,1,1/5,Čaka 44,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/flmnk.html,"[""flmnk-flats-riga-centre-52877619.800.jpg"", ""flmnk-flats-riga-centre-56147584.800.jpg"", ""flmnk-flats-riga-centre-52631897.800.jpg"", ""flmnk-flats-riga-centre-52631893.800.jpg"", ""flmnk-flats-riga-centre-52631892.800.jpg"", ""flmnk-flats-riga-centre-52631894.800.jpg""]"
560 €/mēn. (5.44 €/m²),103 m²,3,2/5,Elizabetes 6,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/hfkgx.html,"[""hfkgx-flats-riga-centre-65405522.800.jpg"", ""hfkgx-flats-riga-centre-65405523.800.jpg"", ""hfkgx-flats-riga-centre-65405524.800.jpg"", ""hfkgx-flats-riga-centre-65405525.800.jpg"", ""hfkgx-flats-riga-centre-65405526.800.jpg"", ""hfkgx-flats-riga-centre-65405527.800.jpg"", ""hfkgx-flats-riga-centre-65405528.800.jpg"", ""hfkgx-flats-riga-centre-65405529.800.jpg"", ""hfkgx-flats-riga-centre-65405530.800.jpg"", ""hfkgx-flats-riga-centre-65405531.800.jpg"", ""hfkgx-flats-riga-centre-65405532.800.jpg"", ""hfkgx-flats-riga-centre-65405533.800.jpg"", ""hfkgx-flats-riga-centre-65405534.800.jpg"", ""hfkgx-flats-riga-centre-65405535.800.jpg"", ""hfkgx-flats-riga-centre-65405536.800.jpg"", ""hfkgx-flats-riga-centre-65405537.800.jpg"", ""hfkgx-flats-riga-centre-65405538.800.jpg"", ""hfkgx-flats-riga-centre-65405539.800.jpg"", ""hfkgx-flats-riga-centre-65405540.800.jpg"", ""hfkgx-flats-riga-centre-65405541.800.jpg""]"
350 €/mēn. (6.36 €/m²),55 m²,3,5/6,Kalniņa 4,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/ghhhc.html,"[""ghhhc-flats-riga-centre-64827632.800.jpg"", ""ghhhc-flats-riga-centre-64827633.800.jpg"", ""ghhhc-flats-riga-centre-64827634.800.jpg"", ""ghhhc-flats-riga-centre-64827635.800.jpg"", ""ghhhc-flats-riga-centre-64827636.800.jpg"", ""ghhhc-flats-riga-centre-64827637.800.jpg"", ""ghhhc-flats-riga-centre-64827638.800.jpg""]"
270 €/mēn. (6.28 €/m²),43 m²,1,1/2,Avotu 75,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/adbef.html,"[""adbef-flats-riga-centre-65209652.800.jpg"", ""adbef-flats-riga-centre-65209653.800.jpg"", ""adbef-flats-riga-centre-65209654.800.jpg"", ""adbef-flats-riga-centre-65209655.800.jpg"", ""adbef-flats-riga-centre-65209656.800.jpg"", ""adbef-flats-riga-centre-65209657.800.jpg"", ""adbef-flats-riga-centre-65209658.800.jpg"", ""adbef-flats-riga-centre-65209659.800.jpg"", ""adbef-flats-riga-centre-65209660.800.jpg"", ""adbef-flats-riga-centre-65209661.800.jpg"", ""adbef-flats-riga-centre-65209662.800.jpg"", ""adbef-flats-riga-centre-65209663.800.jpg"", ""adbef-flats-riga-centre-65209664.800.jpg"", ""adbef-flats-riga-centre-65209665.800.jpg""]"
390 €/mēn. (9.75 €/m²),40 m²,2,3/5,Čaka 59,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/ghmik.html,"[""ghmik-flats-riga-centre-65403410.800.jpg"", ""ghmik-flats-riga-centre-65403411.800.jpg"", ""ghmik-flats-riga-centre-65403412.800.jpg"", ""ghmik-flats-riga-centre-65403413.800.jpg"", ""ghmik-flats-riga-centre-65403414.800.jpg"", ""ghmik-flats-riga-centre-65403415.800.jpg"", ""ghmik-flats-riga-centre-65403416.800.jpg"", ""ghmik-flats-riga-centre-65403417.800.jpg""]"
1 000 €/mēn. (20.41 €/m²),49 m²,2,4/7/lifts,Mednieku 5,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/celxf.html,"[""celxf-flats-riga-centre-65217599.800.jpg"", ""celxf-flats-riga-centre-65217600.800.jpg"", ""celxf-flats-riga-centre-65217601.800.jpg"", ""celxf-flats-riga-centre-65217602.800.jpg"", ""celxf-flats-riga-centre-65217603.800.jpg"", ""celxf-flats-riga-centre-65217604.800.jpg"", ""celxf-flats-riga-centre-65403039.800.jpg"", ""celxf-flats-riga-centre-65403040.800.jpg"", ""celxf-flats-riga-centre-65403041.800.jpg"", ""celxf-flats-riga-centre-65403042.800.jpg"", ""celxf-flats-riga-centre-65403043.800.jpg"", ""celxf-flats-riga-centre-65403044.800.jpg"", ""celxf-flats-riga-centre-65403045.800.jpg"", ""celxf-flats-riga-centre-65217608.800.jpg"", ""celxf-flats-riga-centre-65217609.800.jpg"", ""celxf-flats-riga-centre-65217610.800.jpg"", ""celxf-flats-riga-centre-65217611.800.jpg"", ""celxf-flats-riga-centre-65217612.800.jpg"", ""celxf-flats-riga-centre-65217613.800.jpg"", ""celxf-flats-riga-centre-65217614.800.jpg"", ""celxf-flats-riga-centre-65217615.800.jpg"", ""celxf-flats-riga-centre-65217616.800.jpg"", ""celxf-flats-riga-centre-65217617.800.jpg""]"
400 €/mēn. (6.45 €/m²),62 m²,2,5/5,Bruņinieku 72a,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/biihp.html,"[""biihp-flats-riga-centre-64693107.800.jpg"", ""biihp-flats-riga-centre-64693109.800.jpg"", ""biihp-flats-riga-centre-64693108.800.jpg"", ""biihp-flats-riga-centre-65401732.800.jpg"", ""biihp-flats-riga-centre-65401733.800.jpg"", ""biihp-flats-riga-centre-65401734.800.jpg"", ""biihp-flats-riga-centre-65401735.800.jpg"", ""biihp-flats-riga-centre-65401736.800.jpg"", ""biihp-flats-riga-centre-65401737.800.jpg"", ""biihp-flats-riga-centre-65401738.800.jpg"", ""biihp-flats-riga-centre-65401739.800.jpg"", ""biihp-flats-riga-centre-65401740.800.jpg"", ""biihp-flats-riga-centre-65401741.800.jpg"", ""biihp-flats-riga-centre-64693105.800.jpg"", ""biihp-flats-riga-centre-65401742.800.jpg"", ""biihp-flats-riga-centre-64693106.800.jpg"", ""biihp-flats-riga-centre-64693115.800.jpg"", ""biihp-flats-riga-centre-65401743.800.jpg"", ""biihp-flats-riga-centre-64693110.800.jpg"", ""biihp-flats-riga-centre-64693111.800.jpg""]"
1 190 €/mēn. (15.26 €/m²),78 m²,3,2/6/lifts,Martas 7,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/bglco.html,"[""bglco-flats-riga-centre-64858931.800.jpg"", ""bglco-flats-riga-centre-64858932.800.jpg"", ""bglco-flats-riga-centre-64858933.800.jpg"", ""bglco-flats-riga-centre-64858934.800.jpg"", ""bglco-flats-riga-centre-64858935.800.jpg"", ""bglco-flats-riga-centre-64858936.800.jpg"", ""bglco-flats-riga-centre-64858937.800.jpg"", ""bglco-flats-riga-centre-64858938.800.jpg"", ""bglco-flats-riga-centre-64858939.800.jpg"", ""bglco-flats-riga-centre-64858940.800.jpg"", ""bglco-flats-riga-centre-64858941.800.jpg"", ""bglco-flats-riga-centre-64858942.800.jpg"", ""bglco-flats-riga-centre-64858943.800.jpg"", ""bglco-flats-riga-centre-64858944.800.jpg""]"
